2026-01-05 02:14:14 - INFO: Verification failed with the loop bound: assume(i >= n); assume(i >= x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 1, feed_back_iter: 0, verification_time: 0.5855388827621937, infer_time: 1.4930738881230354, tokens: 802
2026-01-05 02:14:15 - INFO: Verification failed with the loop bound: assume(i >= n); assume(i >= x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 2, feed_back_iter: 0, verification_time: 0.8661375232040882, infer_time: 1.4930738881230354, tokens: 802
2026-01-05 02:14:17 - INFO: Verification failed with the loop bound: assume(i >= n); assume(i >= x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 3, feed_back_iter: 0, verification_time: 1.425722822546959, infer_time: 1.4930738881230354, tokens: 802
2026-01-05 02:14:25 - INFO: Const-add verification failed with the loop bound: assume(i >= n); assume(i >= x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 8.61201986297965, infer_time: 1.4930738881230354, feed_back_iter: 0, tokens: 802
2026-01-05 02:14:27 - INFO: Verification failed with the loop bound: assume(i >= n + x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 1, feed_back_iter: 1, verification_time: 0.5864735879004002, infer_time: 1.4834335930645466, tokens: 969
2026-01-05 02:14:28 - INFO: Verification failed with the loop bound: assume(i >= n + x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 2, feed_back_iter: 1, verification_time: 0.7226397283375263, infer_time: 1.4834335930645466, tokens: 969
2026-01-05 02:14:48 - INFO: Verification failed with the loop bound: assume(i >= n + x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 3, feed_back_iter: 1, verification_time: 20.29096842929721, infer_time: 1.4834335930645466, tokens: 969
2026-01-05 02:15:49 - INFO: Const-add verification timed out with the loop bound: assume(i >= n + x);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 20.29096842929721, infer_time: 1.4834335930645466, feed_back_iter: 1, tokens: 969
2026-01-05 02:15:51 - INFO: Verification failed with the loop bound: assume(i >= n + x + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 1, feed_back_iter: 2, verification_time: 1.2719262279570103, infer_time: 1.492591679096222, tokens: 969
2026-01-05 02:16:10 - INFO: Verification failed with the loop bound: assume(i >= n + x + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 2, feed_back_iter: 2, verification_time: 18.79349384456873, infer_time: 1.492591679096222, tokens: 969
2026-01-05 02:17:10 - INFO: Verification timed out with the loop bound: assume(i >= n + x + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.492591679096222, feed_back_iter: 2, tokens: 969
2026-01-05 02:18:10 - INFO: Const-add verification timed out with the loop bound: assume(i >= n + x + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, const_part: 3, verification_time: 18.79349384456873, infer_time: 1.492591679096222, feed_back_iter: 2, tokens: 969
2026-01-05 02:18:17 - INFO: Verification failed with the loop bound: assume(i >= n + x + 1); assume(i >= n + y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 1, feed_back_iter: 3, verification_time: 4.639112547039986, infer_time: 1.6304839998483658, tokens: 982
2026-01-05 02:18:31 - INFO: Verification failed with the loop bound: assume(i >= n + x + 1); assume(i >= n + y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl , k: 2, feed_back_iter: 3, verification_time: 14.023006565868855, infer_time: 1.6304839998483658, tokens: 982
2026-01-05 02:19:31 - INFO: Verification timed out with the loop bound: assume(i >= n + x + 1); assume(i >= n + y + 1);, file: AliasDarteFeautrierGonnord-SAS2010-counterex1a_false-no-overflow.bpl, k: 3, infer_time: 1.6304839998483658, feed_back_iter: 3, tokens: 982
